transaction_id,amount,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase,repeat_retailer,used_chip,used_pin,online_order,hour_of_day,fraud
TXN100000,9.39,1.68,0.47,0.74,0,1,1,0,11,0
TXN100001,120.09,1.98,4.07,0.95,1,1,0,0,17,0
TXN100002,14.22,16.5,3.31,1.25,1,1,1,0,20,0
TXN100003,35.12,11.95,3.35,1.03,1,0,0,0,12,0
TXN100004,28.1,2.09,1.55,1.36,0,0,0,1,11,0
TXN100005,22.23,5.08,10.26,1.91,1,1,0,0,20,0
TXN100006,106.48,3.59,5.83,1.43,1,0,1,0,6,0
TXN100007,65.63,12.0,9.05,1.57,0,1,1,0,16,0
TXN100008,427.01,182.0,49.01,5.04,0,0,0,0,4,1
TXN100009,164.14,8.94,6.73,0.32,1,0,1,0,13,0
TXN100010,70.47,4.3,2.14,1.02,1,1,0,0,11,0
TXN100011,53.76,5.84,2.63,1.5,1,0,1,1,18,0
TXN100012,107.78,4.88,13.55,0.3,1,1,1,0,19,0
TXN100013,30.84,2.03,12.5,0.72,1,1,1,0,7,0
TXN100014,58.13,8.71,5.25,0.72,1,1,1,0,17,0
TXN100015,118.62,11.88,1.58,1.47,1,1,1,1,17,0
TXN100016,23.9,19.87,0.47,0.99,1,0,1,0,14,0
TXN100017,119.24,5.59,1.3,1.49,1,1,1,0,21,0
TXN100018,47.32,6.0,2.43,1.36,1,0,0,0,13,0
TXN100019,85.66,11.35,1.38,1.31,0,1,0,0,8,0
TXN100020,120.65,2.02,3.22,1.05,1,1,1,0,20,0
TXN100021,70.29,11.59,6.51,0.96,0,0,1,0,20,0
TXN100022,27.0,0.11,2.94,0.99,1,1,1,0,16,0
TXN100023,21.99,8.22,0.42,0.99,1,1,1,0,15,0
TXN100024,82.08,2.71,5.58,0.92,0,1,0,1,10,0
TXN100025,46.37,4.89,2.2,2.41,1,0,1,0,3,0
TXN100026,125.94,0.84,1.97,1.1,1,1,0,0,9,0
TXN100027,166.18,9.67,0.26,0.83,1,1,0,1,16,0
TXN100028,24.62,1.0,3.0,0.06,1,1,1,0,11,0
TXN100029,63.63,11.6,1.22,0.29,1,1,0,1,12,0
TXN100030,42.95,13.34,2.66,1.95,1,1,1,1,13,0
TXN100031,9.92,0.58,6.78,0.62,1,1,1,1,14,0
TXN100032,18.89,11.09,8.12,0.71,1,1,0,0,3,0
TXN100033,21.29,1.7,8.53,0.77,1,1,1,0,14,0
TXN100034,84.62,9.15,3.07,1.3,0,1,1,1,11,0
TXN100035,124.65,5.19,1.76,0.61,0,1,1,0,13,0
TXN100036,35.65,8.63,2.81,1.53,1,1,1,0,17,0
TXN100037,67.3,5.65,8.32,1.14,1,1,0,1,9,0
TXN100038,154.68,6.77,12.02,0.47,1,1,1,1,9,0
TXN100039,87.17,11.15,4.93,1.05,1,1,1,1,7,0
TXN100040,176.67,1.14,1.93,0.77,1,0,1,1,12,0
TXN100041,35.78,16.3,0.21,0.53,1,0,1,1,11,0
TXN100042,85.16,0.07,4.79,0.96,0,0,1,1,16,0
TXN100043,65.67,7.62,2.73,0.86,1,1,0,0,10,0
TXN100044,42.03,0.75,0.33,1.1,1,1,1,0,18,0
TXN100045,343.91,32.0,60.92,4.75,1,0,0,0,20,1
TXN100046,84.06,0.02,0.26,0.58,1,1,1,0,14,0
TXN100047,34.61,6.92,2.61,0.04,1,1,0,0,7,0
TXN100048,181.38,17.09,10.29,1.63,0,1,0,0,23,0
TXN100049,55.43,0.43,1.07,1.6,1,1,0,1,8,0
TXN100050,129.91,2.38,1.63,0.69,1,0,1,0,9,0
TXN100051,75.17,9.37,2.72,1.04,1,1,1,0,13,0
TXN100052,8.4,1.03,0.19,1.5,1,1,1,1,0,0
TXN100053,60.72,6.12,0.44,1.27,1,1,0,0,18,0
TXN100054,60.64,4.35,5.08,1.63,1,1,1,0,12,0
TXN100055,152.97,9.06,2.56,1.2,0,0,1,1,15,0
TXN100056,116.89,1.28,1.3,2.24,1,0,0,0,6,0
TXN100057,274.09,14.23,5.09,0.86,1,1,1,0,13,0
TXN100058,20.75,5.17,0.25,1.21,1,0,0,1,11,0
TXN100059,149.38,6.42,1.94,0.69,0,1,0,0,16,0
TXN100060,47.57,0.63,1.82,1.29,1,0,1,0,14,0
TXN100061,63.32,15.7,0.56,1.43,1,0,1,0,15,0
TXN100062,30.89,17.9,2.51,1.39,1,1,0,1,14,0
TXN100063,107.32,15.65,3.62,1.32,1,1,0,0,23,0
TXN100064,14.77,7.25,0.21,1.71,0,0,1,1,11,0
TXN100065,107.48,4.37,0.17,1.3,1,1,1,0,10,0
TXN100066,42.47,5.37,4.21,1.06,1,0,1,0,10,0
TXN100067,65.58,3.33,4.5,2.19,1,0,0,1,10,0
TXN100068,66.2,2.46,2.91,0.95,1,1,0,0,16,0
TXN100069,86.71,12.43,8.5,0.78,1,1,0,1,22,0
TXN100070,118.14,15.09,4.44,1.43,1,1,1,0,20,0
TXN100071,243.12,16.61,4.56,2.22,1,1,1,1,8,0
TXN100072,45.06,1.45,0.75,1.02,1,1,1,0,11,0
TXN100073,66.86,16.09,0.27,0.69,1,1,1,0,22,0
TXN100074,124.6,9.52,0.28,1.35,1,0,1,0,8,0
TXN100075,22.34,14.23,3.0,0.06,1,1,0,1,13,0
TXN100076,48.98,15.02,0.68,0.91,0,1,1,0,17,0
TXN100077,146.47,22.05,7.2,1.27,1,1,1,0,13,0
TXN100078,255.14,4.83,3.82,2.07,0,1,0,0,9,0
TXN100079,43.85,17.53,1.71,0.69,1,1,1,0,8,0
TXN100080,5.03,8.99,3.05,1.65,1,0,1,1,13,0
TXN100081,29.86,8.39,4.34,1.32,1,0,1,0,12,0
TXN100082,29.16,3.96,1.32,0.83,1,0,1,0,23,0
TXN100083,38.24,8.92,1.41,0.55,1,1,1,0,10,0
TXN100084,17.5,7.38,2.48,1.15,1,1,1,0,19,0
TXN100085,162.76,6.89,0.59,1.02,1,1,1,1,10,0
TXN100086,69.77,13.23,0.41,1.04,1,1,0,0,13,0
TXN100087,49.01,23.47,1.62,0.56,1,1,1,0,9,0
TXN100088,18.78,7.3,9.42,1.49,0,1,1,0,18,0
TXN100089,99.75,8.59,6.44,1.19,1,1,1,0,8,0
TXN100090,11.2,12.63,1.46,1.61,1,1,1,0,15,0
TXN100091,238.76,5.91,1.94,0.86,1,1,1,1,15,0
TXN100092,72.55,13.91,5.25,0.69,1,1,0,0,9,0
TXN100093,99.39,17.59,2.76,1.44,1,0,0,0,23,0
TXN100094,92.13,7.31,4.93,0.8,1,0,0,0,10,0
TXN100095,230.12,10.41,1.21,0.52,1,0,1,1,18,0
TXN100096,42.97,6.45,0.55,0.13,1,1,1,1,17,0
TXN100097,71.8,2.86,1.15,0.73,1,0,1,0,17,0
TXN100098,28.9,11.48,0.99,1.53,1,1,0,0,11,0
TXN100099,94.71,0.28,3.22,1.0,1,1,0,1,10,0
TXN100100,31.35,5.9,13.62,1.63,1,1,1,0,16,0
TXN100101,55.9,4.55,3.38,0.01,1,1,1,0,13,0
TXN100102,213.14,9.44,3.31,1.36,1,1,1,1,16,0
TXN100103,71.17,1.85,1.09,1.47,1,0,1,0,14,0
TXN100104,17.37,9.33,5.56,0.63,1,1,1,0,18,0
TXN100105,23.08,0.09,4.63,0.88,0,0,1,1,12,0
TXN100106,112.2,9.02,1.82,1.59,1,1,0,0,17,0
TXN100107,53.45,1.22,2.96,1.41,0,0,1,0,10,0
TXN100108,36.94,4.09,2.11,0.95,1,1,1,0,13,0
